id_mcc,mcc_description,uuid
5411,Groceries and supermarkets,b4822041-3a8e-43d3-9391-65e944d114c0
7549,Towing services,baa830c4-9622-434c-b959-671d9f6d4dcd
1711,"Heating, plumbing and air-conditioning contractors",badbf4c8-ecf7-4d9c-888e-4185e268bb4f
4411,Steamships and cruise lines,bc04333e-284e-4c82-ba67-b7344fa8f74c
7542,Car washes,bcc24619-05c1-4a59-b294-f03c97c2df2a
5661,Shoe shops,bd4aa453-3bce-4405-90f7-bdc14c1739f2
5211,Lumber and building materials outlets,bf6ef625-b775-4590-81e0-3aeb212b1f8a
8043,"Opticians, optical goods and eyeglasses",c0436636-ee58-4e88-8f6b-6cd169c2bb16
5533,Automotive Parts and Accessories Stores,c1c03179-6ddd-48fe-a02e-0f2c4c0d8810
5655,Sports and riding apparel shops,c646d8d1-fc42-42cf-a08a-d4a13b56097b
5533,Automotive Parts and Accessories Stores,c79f8272-def0-4dbf-91b0-a78089553e3c
1711,"Heating, plumbing and air-conditioning contractors",c7ba82d5-abd6-4f09-b3fd-abf1a761ab08
4511,Airlines and Air Carriers (Not Elsewhere Classified),c88f7715-6e9a-4515-ac3b-142a6c2cea45
7349,"Cleaning, maintenance and janitorial services",d00238af-5018-4df7-8fa3-e759f3130a44
5651,Family clothing shops,d1f80bc4-1438-48f5-bd6f-c1a462792fae
7802,Government-Licensed Horse/Dog Racing (US Region only),d20befa3-e971-48dc-92ee-d4c3eb211f5a
7393,"Detective  agencies,  protective  agencies  and  security  services,  including  armoured  cars  and guard dogs",d453152e-f3ec-449c-8ce7-05996b33028a
4111,"Local and suburban commuter passenger transportation, including ferries",d4a2e86e-724b-4cc4-8230-7cbc4fde8c41
5921,"Package shops — beer, wine and liquor",d68595a3-9069-46cb-b1d4-270ea5f1cf84
9402,Postal services — government only,d6dd6121-fcea-47a1-ba1d-fa473fcdb54c
4111,"Local and suburban commuter passenger transportation, including ferries",da7f7878-b514-4aa2-8189-07e0c6b47e20
8011,Doctors and physicians — not elsewhere classified,dbdf8e25-740b-43cf-9db2-79b014b1b7a0
5812,Eating places and restaurants,dbf5c7d2-045d-46ba-bd79-ca35fde2a181
5947,"Gift, card, novelty and souvenir shops",ddfa0674-47f9-40fb-88cc-3370734b9c30
5947,"Gift, card, novelty and souvenir shops",de457c2f-2342-4200-833d-6418cc88dfa2
7996,"Amusement Parks, Circuses, Carnivals, and Fortune Tellers",de5b9cfb-263c-491f-8cf7-5c3968033ac4
6300,"Insurance sales, underwriting and premiums",debf6961-79ec-4d59-b7e1-b15563006ec3
5661,Shoe shops,e06a1248-c263-46e0-9214-30727e92c42b
5192,"Books, Periodicals and Newspapers",e1c71057-c059-4c46-8a7b-5f6f3f64a070
5812,Eating places and restaurants,e6be3efc-6a0e-4268-a047-bf9e94c457ab
4722,Travel agencies and tour operators,e9a5f785-2bca-4ea8-be92-c9eea2ecba8b
